"Id","Data do Sorteio","Coluna 1","Coluna 2","Coluna 3","Coluna 4","Coluna 5","Coluna 6"
"","","","","","","",""
"96","1/4/1998","4","7","26","40","42","58"
"","","","","","","",""
"97","1/11/1998","5","11","14","35","53","56"
"","","","","","","",""
"98","1/18/1998","13","14","31","33","35","43"
"","","","","","","",""
"99","1/25/1998","11","24","30","33","46","60"
"","","","","","","",""
"100","2/1/1998","14","29","30","46","48","51"
"","","","","","","",""
"101","2/8/1998","1","18","29","31","37","39"
"","","","","","","",""
"102","2/15/1998","19","20","37","42","44","56"
"","","","","","","",""
"103","2/22/1998","1","7","9","49","54","57"
"","","","","","","",""
"104","3/1/1998","1","4","13","21","38","52"
"","","","","","","",""
"105","3/8/1998","3","13","31","43","46","49"
"","","","","","","",""
"106","3/15/1998","5","16","24","35","38","39"
"","","","","","","",""
"107","3/22/1998","2","4","16","24","51","52"
"","","","","","","",""
"108","3/29/1998","21","24","29","34","59","60"
"","","","","","","",""
"109","4/4/1998","1","13","44","48","49","54"
"","","","","","","",""
"110","4/11/1998","18","31","43","52","57","58"
"","","","","","","",""
"111","4/18/1998","4","22","25","32","33","52"
"","","","","","","",""
"112","4/25/1998","12","20","34","37","42","43"
"","","","","","","",""
"113","5/2/1998","7","26","28","34","54","55"
"","","","","","","",""
"114","5/9/1998","6","12","18","37","47","54"
"","","","","","","",""
"115","5/16/1998","4","6","14","20","24","38"
"","","","","","","",""
"116","5/23/1998","5","13","32","36","42","51"
"","","","","","","",""
"117","5/30/1998","20","25","27","33","42","53"
"","","","","","","",""
"118","6/6/1998","9","22","25","37","56","57"
"","","","","","","",""
"119","6/13/1998","1","21","36","38","47","50"
"","","","","","","",""
"120","6/20/1998","3","16","27","40","45","46"
"","","","","","","",""
"121","6/27/1998","2","29","41","44","53","55"
"","","","","","","",""
"122","7/4/1998","11","17","20","39","43","53"
"","","","","","","",""
"123","7/11/1998","13","14","16","26","32","42"
"","","","","","","",""
"124","7/18/1998","5","15","34","41","52","57"
"","","","","","","",""
"125","7/25/1998","25","41","47","53","56","59"
"","","","","","","",""
"126","8/1/1998","6","10","11","28","32","40"
"","","","","","","",""
"127","8/8/1998","21","29","50","51","54","59"
"","","","","","","",""
"128","8/15/1998","3","9","18","21","23","43"
"","","","","","","",""
"129","8/22/1998","1","9","10","32","46","54"
"","","","","","","",""
"130","8/29/1998","13","29","38","42","49","53"
"","","","","","","",""
"131","9/5/1998","4","9","17","27","30","44"
"","","","","","","",""
"132","9/12/1998","7","9","35","41","44","50"
"","","","","","","",""
"133","9/19/1998","5","6","19","34","39","57"
"","","","","","","",""
"134","9/26/1998","4","25","32","36","52","60"
"","","","","","","",""
"135","10/3/1998","21","22","35","40","53","59"
"","","","","","","",""
"136","10/10/1998","1","17","25","38","45","59"
"","","","","","","",""
"137","10/17/1998","15","16","19","22","26","49"
"","","","","","","",""
"138","10/24/1998","5","14","27","37","40","41"
"","","","","","","",""
"139","10/31/1998","3","13","26","27","41","42"
"","","","","","","",""
